drug_class,month,seasonal_deviate,sem
Macrolides,1,0.9100923061389883,0.13682536889664917
Macrolides,2,0.5212284369417726,0.19359166457868354
Macrolides,3,0.4722362081451177,0.10561979612082434
Macrolides,4,0.25913537448443674,0.1246582158949125
Macrolides,5,-0.02720786034806233,0.06895636969925698
Macrolides,6,-0.2884848504823748,0.10664235974880172
Macrolides,7,-0.7771627965521809,0.14900259538231347
Macrolides,8,-0.7262498338359046,0.06980164637895768
Macrolides,9,-0.7355782018130982,0.07326615393864251
Macrolides,10,-0.2062582865840451,0.033117951420352704
Macrolides,11,0.07750730266564776,0.1474592450878262
Macrolides,12,0.5455439644003451,0.13442590780235997
Nitrofurans,1,-0.029682090373073067,0.013410694652432565
Nitrofurans,2,-0.04753533978166422,0.006695583609223156
Nitrofurans,3,-0.016719029296908362,0.011346878410845683
Nitrofurans,4,-0.04332089847372049,0.017032336944948934
Nitrofurans,5,-0.032733020534146284,0.014205592439466029
Nitrofurans,6,-0.0036543395902511764,0.009618269611082971
Nitrofurans,7,0.043812554078030176,0.022136621945778635
Nitrofurans,8,0.04370362120549688,0.01100896152075494
Nitrofurans,9,0.026489446471560908,0.011421867753821115
Nitrofurans,10,0.054119271272463895,0.007517676630772224
Nitrofurans,11,0.01323259827169608,0.012644124275422487
Nitrofurans,12,-0.005534170752043627,0.017655101792710952
Penicillins,1,1.0598842098864552,0.12914456077396855
Penicillins,2,0.8455896107369949,0.24789887675521036
Penicillins,3,1.0813834178775648,0.10723580420947429
Penicillins,4,0.7613880083876184,0.17620565017175113
Penicillins,5,0.07987777782014316,0.06525317021955794
Penicillins,6,-0.3140767198759814,0.06367867432216542
Penicillins,7,-1.0263514702479346,0.14312390401827682
Penicillins,8,-1.1262973101155769,0.06509824794008603
Penicillins,9,-1.129906083461454,0.07303859158214965
Penicillins,10,-0.5073667949667753,0.016977682328377087
Penicillins,11,-0.12012252658828992,0.14553251057329364
Penicillins,12,0.423100158080127,0.09356958874990062
Quinolones,1,0.046935938932995434,0.021812383248314686
Quinolones,2,-0.027326173916601304,0.043988746569631185
Quinolones,3,-0.023102385709902595,0.038052324995216255
Quinolones,4,-0.047988030373689705,0.044884328347281906
Quinolones,5,-0.043556856876412954,0.03216496432499504
Quinolones,6,0.08890463834254718,0.0078108226173740575
Quinolones,7,0.1271007352292924,0.05921549124793494
Quinolones,8,0.1164874138732546,0.03585290335898367
Quinolones,9,-0.09994161415231244,0.04414834861370864
Quinolones,10,-0.04741348855368982,0.02920459792770068
Quinolones,11,-0.08974208452672278,0.03764552870778349
Quinolones,12,-0.01419330485404624,0.0253086607690813
Tetracyclines,1,-0.011549804397044982,0.011050624081721822
Tetracyclines,2,-0.04443953253341313,0.028848221366209625
Tetracyclines,3,-0.01801313295111746,0.012686050996208122
Tetracyclines,4,0.015899240584286534,0.013947069904539842
Tetracyclines,5,0.020948852147866636,0.011610009228101766
Tetracyclines,6,0.05152766347456308,0.025483446319776636
Tetracyclines,7,0.019762347082212604,0.02998961104140369
Tetracyclines,8,0.03731274341083694,0.010155179515917677
Tetracyclines,9,-0.0429077933294834,0.026310167288240302
Tetracyclines,10,0.01222830216116208,0.010295158522784962
Tetracyclines,11,0.017907516128717937,0.030265869621940493
Tetracyclines,12,-0.0509187463626653,0.02067866587599609
