organism,drug_name,month,seasonal_deviate,sem
K. pneumoniae,Amoxicillin/Clavulanate,1,0.010333435779257886,0.02678184804568112
K. pneumoniae,Amoxicillin/Clavulanate,2,0.035833849814028956,0.029977882432978564
K. pneumoniae,Amoxicillin/Clavulanate,3,0.01974377184155523,0.027062865019421744
K. pneumoniae,Amoxicillin/Clavulanate,4,0.053350502780251025,0.028353065616165515
K. pneumoniae,Amoxicillin/Clavulanate,5,0.011470914692143184,0.026127500598258996
K. pneumoniae,Amoxicillin/Clavulanate,6,-0.01741589165490997,0.023884829548583585
K. pneumoniae,Amoxicillin/Clavulanate,7,0.0019462706193314743,0.023132907784814458
K. pneumoniae,Amoxicillin/Clavulanate,8,-0.008846540396004441,0.02161676201260608
K. pneumoniae,Amoxicillin/Clavulanate,9,-0.021838158732534106,0.02236499118869286
K. pneumoniae,Amoxicillin/Clavulanate,10,-0.07803243924855768,0.022604913266402897
K. pneumoniae,Amoxicillin/Clavulanate,11,-0.00311554626205694,0.02552959639163091
K. pneumoniae,Amoxicillin/Clavulanate,12,-0.0017160374455092709,0.025608952227863822
K. pneumoniae,Ciprofloxacin,1,0.04446108448464261,0.029162258301384147
K. pneumoniae,Ciprofloxacin,2,0.027410126274662504,0.03188079690420739
K. pneumoniae,Ciprofloxacin,3,0.052411303199318575,0.030109700810645273
K. pneumoniae,Ciprofloxacin,4,0.08221742106768971,0.03109555698204793
K. pneumoniae,Ciprofloxacin,5,-0.02185821863172632,0.027485097178630884
K. pneumoniae,Ciprofloxacin,6,-0.022721356032909687,0.02521545100971785
K. pneumoniae,Ciprofloxacin,7,-0.05312298356177308,0.02410904471779014
K. pneumoniae,Ciprofloxacin,8,-0.052526106348250653,0.02260674109845173
K. pneumoniae,Ciprofloxacin,9,-0.030503339968910113,0.02374525601246465
K. pneumoniae,Ciprofloxacin,10,-0.033705303513118214,0.024629148505827158
K. pneumoniae,Ciprofloxacin,11,-0.008602559608329839,0.026527994697912723
K. pneumoniae,Ciprofloxacin,12,0.015902099102355863,0.027064050926512526
K. pneumoniae,Nitrofurantoin,1,0.04099481724085882,0.030008586106445283
K. pneumoniae,Nitrofurantoin,2,0.017893168108674064,0.0321910090382268
K. pneumoniae,Nitrofurantoin,3,-0.04350112482630726,0.030251843740483512
K. pneumoniae,Nitrofurantoin,4,0.005732335757594459,0.03224649327012708
K. pneumoniae,Nitrofurantoin,5,-0.043917634615210296,0.02883145235304387
K. pneumoniae,Nitrofurantoin,6,0.002475644244080085,0.027188575978660125
K. pneumoniae,Nitrofurantoin,7,-0.048912241669644696,0.028201259490725574
K. pneumoniae,Nitrofurantoin,8,-0.03729421869336704,0.02626139418242423
K. pneumoniae,Nitrofurantoin,9,0.03791281891714994,0.025966160068543263
K. pneumoniae,Nitrofurantoin,10,-0.027456862760088095,0.02748580556159947
K. pneumoniae,Nitrofurantoin,11,0.07488970302223985,0.028376904082379285
K. pneumoniae,Nitrofurantoin,12,0.023628137186442282,0.02795537233350278
K. pneumoniae,Tetracycline,1,-0.019903006278412152,0.03693393715284182
K. pneumoniae,Tetracycline,2,0.04306928288784433,0.04190830992711741
K. pneumoniae,Tetracycline,3,-0.00888352278595716,0.03833398140035511
K. pneumoniae,Tetracycline,4,0.06347488722191573,0.03994166589526629
K. pneumoniae,Tetracycline,5,-0.052118365877624494,0.036055686464929765
K. pneumoniae,Tetracycline,6,0.010505791035205754,0.035148670974231126
K. pneumoniae,Tetracycline,7,-0.013337649253019989,0.03332340704637187
K. pneumoniae,Tetracycline,8,0.03246048543483344,0.03195560691004341
K. pneumoniae,Tetracycline,9,0.017442713502427168,0.03339426518882021
K. pneumoniae,Tetracycline,10,-0.047588234406928547,0.03338675056597787
K. pneumoniae,Tetracycline,11,-0.019215776401998296,0.03567822461159424
K. pneumoniae,Tetracycline,12,0.007937834084321155,0.035945980161643874
