drug_class,period,month,seasonal_deviate,sem
Macrolides,12,1,3.1809869796457297,0.44296945284416056
Macrolides,12,2,0.5991296502575547,0.5172747630704428
Macrolides,12,3,1.7859154881192136,0.3233201098320582
Macrolides,12,4,0.6744264479608966,0.3744399173556842
Macrolides,12,5,0.199921288044834,0.21060409843135536
Macrolides,12,6,-1.0118719358668886,0.3267990403909365
Macrolides,12,7,-2.1626566019334517,0.4502734323023884
Macrolides,12,8,-2.0236852113857546,0.20981610480692772
Macrolides,12,9,-2.4183085532500845,0.21314661088961234
Macrolides,12,10,-0.471901562696059,0.09589854163700348
Macrolides,12,11,-0.05647466346077268,0.4240871465649188
Macrolides,12,12,1.807077035381237,0.4198424432477624
Nitrofurans,12,1,-0.050010784565278986,0.03937136980788487
Nitrofurans,12,2,-0.25239336927178746,0.02392443684476787
Nitrofurans,12,3,-0.013685136538214326,0.035950408363176166
Nitrofurans,12,4,-0.14738612883768826,0.05154255475109148
Nitrofurans,12,5,-0.06718835068269749,0.04332159393722621
Nitrofurans,12,6,-0.03276092960058095,0.02928308261449216
Nitrofurans,12,7,0.16624308930600354,0.07041997976867756
Nitrofurans,12,8,0.1639754767466274,0.03418793178364149
Nitrofurans,12,9,0.051108712464904206,0.03588270623872856
Nitrofurans,12,10,0.1889957733635762,0.02417209717244372
Nitrofurans,12,11,0.004436835366610603,0.0403436467752783
Nitrofurans,12,12,-7.603521006762648e-4,0.05427011739746793
Penicillins,12,1,3.7110399161504377,0.3895901698991955
Penicillins,12,2,1.3950669293402107,0.6768375283818459
Penicillins,12,3,3.7337174053799123,0.33772356502747236
Penicillins,12,4,2.173616181130993,0.5246437404242416
Penicillins,12,5,0.5850798656589425,0.19353078002756877
Penicillins,12,6,-1.10807374593784,0.19712794720983187
Penicillins,12,7,-2.888200858895064,0.4363391857453557
Penicillins,12,8,-3.2200179902562365,0.19338647341090992
Penicillins,12,9,-3.638505450111309,0.2239379924492421
Penicillins,12,10,-1.3741672315123696,0.05529409007389372
Penicillins,12,11,-0.7067481867167511,0.4280089140523388
Penicillins,12,12,1.450184914165162,0.2909227172605785
Quinolones,6,1,0.30264668008046963,0.0669911344910215
Quinolones,6,2,-0.4608214565132407,0.1210186709262639
Quinolones,6,3,0.0642308245002459,0.118064794459211
Quinolones,6,4,-0.19515945327900858,0.13597304521922654
Quinolones,6,5,-0.020475085303176144,0.10073412473260378
Quinolones,6,6,0.19476141736430427,0.023260917254099255
Quinolones,6,7,0.4872664010372711,0.18393851653659304
Quinolones,6,8,0.4437165802399338,0.1149449734194232
Quinolones,6,9,-0.4029130433783699,0.13281945637207893
Quinolones,6,10,-0.07936991632413393,0.08908474991023167
Quinolones,6,11,-0.3895345546501574,0.10976706815617525
Quinolones,6,12,0.0024760968974646413,0.07624004159830088
Tetracyclines,12,1,0.047754857032042256,0.03527591254851224
Tetracyclines,12,2,-0.35718720980566604,0.08420340586335807
Tetracyclines,12,3,0.019817361615594553,0.03874172681348844
Tetracyclines,12,4,0.015685876180267223,0.04147865655655173
Tetracyclines,12,5,0.13269833852362148,0.03760223144437879
Tetracyclines,12,6,0.11507236404022762,0.07628115957359657
Tetracyclines,12,7,0.12111899592127058,0.09247841107651475
Tetracyclines,12,8,0.17157463609059426,0.03039981138731106
Tetracyclines,12,9,-0.17948217758821555,0.08134643364249383
Tetracyclines,12,10,0.08120336377665227,0.030830133995085243
Tetracyclines,12,11,-0.012675423118603257,0.0891954542157509
Tetracyclines,12,12,-0.12485722129494237,0.06325416035043725
